,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,T1B,T2B,Lab1B,Lab2B,Lab3B,T3B,
1B,,0,1101.85,606.35,0,795.32,429.65,605.42,1063.13,0,270.19,511.14,0,473.99,0,0,
2B,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3B,1101.85,0,,704.34,0,1082.78,896.24,1432.27,1389.24,0,305.92,828.730000000001,68.96,735.41,0,0,
4B,606.35,0,704.34,,0,797.520000000001,704.66,685.91,846.38,0,244.75,621.67,3.27,563.44,0,0,
5B,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,
6B,795.32,0,1082.78,797.520000000001,0,,507.03,1249.59,1066.4,0,235.48,568.73,10.2,566.43,0,0,
7B,429.65,0,896.24,704.66,0,507.03,,902.76,879.830000000001,0,267.74,319.62,4.63,720.040000000001,0,0,
8B,605.42,0,1432.27,685.91,0,1249.59,902.76,,1675.81,0,564.98,879.420000000001,1.74,845.49,0,0,
9B,1063.13,0,1389.24,846.38,0,1066.4,879.830000000001,1675.81,,0,565.13,878.29,59.86,812.45,0,0,
10B,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
T1B,270.19,0,305.92,244.75,0,235.48,267.74,564.98,565.13,0,,409.89,0,194.95,0,0,
T2B,511.14,0,828.730000000001,621.67,0,568.73,319.62,879.420000000001,878.29,0,409.89,,37.01,181.1,0,0,
Lab1B,0,0,68.96,3.27,0,10.2,4.63,1.74,59.86,0,0,37.01,,8.99,0,0,
Lab2B,473.99,0,735.41,563.44,0,566.43,720.040000000001,845.49,812.45,0,194.95,181.1,8.99,,0,0,
Lab3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
T3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,